person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
3586,1,245.0,260.0,-272.5,260.0,170.0,180.0,185.0,185.0,270.0,290.0,-310.0,185.0,735.0
3588,1,305.0,325.0,332.5,332.5,160.0,-167.5,-167.5,160.0,350.0,-390.0,-390.0,160.0,842.5
3589,1,225.0,245.0,260.0,260.0,160.0,170.0,180.0,180.0,225.0,240.0,260.0,180.0,700.0
3590,1,290.0,305.0,-320.0,305.0,195.0,207.5,212.5,212.5,280.0,300.0,-310.0,212.5,817.5
3591,1,262.5,282.5,300.5,300.5,75.0,,,75.0,75.0,,,75.0,450.0
3592,1,-255.0,260.0,-275.0,260.0,130.0,140.0,150.0,150.0,275.0,300.0,-307.5,150.0,710.0
3593,1,-265.0,265.0,280.0,280.0,157.5,167.5,170.0,170.0,265.0,280.0,-282.5,170.0,730.0
3594,1,160.0,-170.0,170.0,170.0,95.0,-102.5,-102.5,95.0,190.0,205.0,-210.0,95.0,470.0
3595,1,140.0,160.0,180.0,180.0,105.0,115.0,-125.0,115.0,180.0,200.0,-205.0,115.0,495.0
3596,1,-227.5,-227.5,227.5,227.5,130.0,137.5,142.5,142.5,240.0,250.0,255.0,142.5,625.0
3597,1,255.0,265.0,-275.0,265.0,145.0,155.0,-160.0,155.0,255.0,265.0,-270.0,155.0,685.0
3598,1,195.0,205.0,212.5,212.5,117.5,122.5,-125.0,122.5,195.0,207.5,-215.0,122.5,542.5
3599,1,230.0,252.5,260.0,260.0,145.0,-152.5,-152.5,145.0,235.0,-255.0,255.0,145.0,660.0
3599,1,380.0,410.0,-430.0,410.0,-210.0,-210.0,210.0,210.0,235.0,250.0,260.0,210.0,880.0
3600,1,-245.0,245.0,-255.0,245.0,155.0,165.0,-170.5,165.0,245.0,260.0,267.5,165.0,677.5
3601,1,170.0,182.5,190.0,190.0,120.0,-127.5,127.5,127.5,190.0,205.0,217.5,127.5,535.0
3602,1,300.0,-320.0,320.0,320.0,210.0,225.0,230.0,230.0,300.0,-310.0,322.5,230.0,872.5
3603,1,255.0,-270.0,270.0,270.0,160.0,165.0,170.0,170.0,240.0,250.0,260.0,170.0,700.0
3604,1,-260.0,277.5,290.0,290.0,170.0,177.5,,177.5,285.0,300.0,-310.0,177.5,767.5
3605,1,235.0,250.0,260.0,260.0,145.0,-152.5,-152.5,145.0,255.0,267.5,-275.0,145.0,672.5
